name,nameShow,parti,groupe
Jean Carles Grelier,Jean-Carles Grelier,LR,LR
Michel Herbillon,Michel Herbillon,LR,LR
Patrick Hetzel,Patrick Hetzel,LR,LR
Sébastien Huyghe,Sébastien Huyghe,LR,LR
Mansour Kamardine,Mansour Kamardine,LR,LR
Brigitte Kuster,Brigitte Kuster,LR,LR
Charles de La Verpillière,Charles de La Verpillière,LR,LR
Valérie Lacroute,Valérie Lacroute,LR,LR
Guillaume Larrivé,Guillaume Larrivé,LR,LR
Marc Le Fur,Marc Le Fur,LR,LR
Constance Le Grip,Constance Le Grip,LR,LR
Sébastien Leclerc,Sébastien Leclerc,LR,LR
Geneviève Levy,Geneviève Levy,LR,LR
David Lorion,David Lorion,LR,LR
Véronique Louwagie,Véronique Louwagie,LR,LR
Gilles Lurton,Gilles Lurton,LR,LR
Olivier Marleix,Olivier Marleix,LR,LR
Franck Marlin,Franck Marlin,LR,LR
Jean-Louis Masson,Jean-Louis Masson,LR,LR
Gérard Menuel,Gérard Menuel,LR,LR
Frédérique Meunier,Frédérique Meunier,LR,LR
Maxime Minot,Maxime Minot,LR,LR
Jérôme Nury,Jérôme Nury,LR,LR
Jean-François Parigi,Jean-François Parigi,LR,LR
Éric Pauget,Éric Pauget,LR,LR
Guillaume Peltier,Guillaume Peltier,LR,LR
Bernard Perrut,Bernard Perrut,LR,LR
Bérengère Poletti,Bérengère Poletti,LR,LR
Aurélien Pradié,Aurélien Pradié,LR,LR
Didier Marc Christian Quentin,Didier Quentin,LR,LR
Alain Ramadier,Alain Ramadier,LR,LR
Robin Reda,Robin Reda,LR,LR
Frédéric Reiss,Frédéric Reiss,LR,LR
Jean-Luc Reitzer,Jean-Luc Reitzer,LR,LR
Bernard Reynès,Bernard Reynès,LR,LR
Vincent Rolland,Vincent Rolland,LR,LR
Martial Saddier,Martial Saddier,LR,LR
Raphael Schellenberger,Raphaël Schellenberger,LR,LR
Jean-Marie Sermier,Jean-Marie Sermier,LR,LR
Éric Straumann,Éric Straumann,LR,LR
Michèle Tabarot,Michèle Tabarot,LR,LR
Jean-Charles Taugourdeau,Jean-Charles Taugourdeau,LR,LR
Guy Teissier,Guy Teissier,LR,LR
Laurence Trastour-Isnart,Laurence Trastour-Isnart,LR,LR
Isabelle Valentin,Isabelle Valentin,LR,LR
Pierre Vatin,Pierre Vatin,LR,LR
Patrice Verchère,Patrice Verchère,LR,LR
Arnaud Viala,Arnaud Viala,LR,LR
Michel Vialay,Michel Vialay,LR,LR
Jean-Pierre Vigier,Jean-Pierre Vigier,LR,LR
Stéphane Viry,Stéphane Viry,LR,LR
Éric Woerth,Éric Woerth,LR,LR
Nathalie Bassire,Nathalie Bassire,DVD,LR
Pierre Cordier,Pierre Cordier,DVD,LR
Claire Guion-Firmin,Claire Guion-Firmin,DVD,LR
Emmanuel Maquet,Emmanuel Maquet,DVD,LR
Nadia Ramassamy,Nadia Ramassamy,DVD,LR
Christian Jacob,Christian Jacob,LR,LR
Erwan Balanant,Erwan Balanant,REM,MoDem
Géraldine Bannier,Géraldine Bannier,MoDem,MoDem
Jean-Noel Barrot,Jean-Noël Barrot,MoDem,MoDem
Philippe Berta,Philippe Berta,REM,MoDem
Philippe Bolo,Philippe Bolo,MoDem,MoDem
Jean-Louis Bourlanges,Jean-Louis Bourlanges,MoDem,MoDem
Vincent Bru,Vincent Bru,MoDem,MoDem
Jean-Pierre Cubertafon,Jean-Pierre Cubertafon,MoDem,MoDem
Marguerite Deprez-Audebert,Marguerite Deprez-Audebert,MoDem,MoDem
Bruno Duvergé,Bruno Duvergé,MoDem,MoDem
Sarah El Haïry,Sarah El Haïry,MoDem,MoDem
Nathalie Elimas,Nathalie Elimas,MoDem,MoDem
Nadia Essayan,Nadia Essayan,MoDem,MoDem
Michel Fanget,Michel Fanget,MoDem,MoDem
Marc Fesneau,Marc Fesneau,MoDem Pré.,MoDem
Isabelle Florennes,Isabelle Florennes,MoDem,MoDem
Patricia Gallerneau,Patricia Gallerneau,MoDem,MoDem
Laurent Garcia,Laurent Garcia,MoDem,MoDem
Brahim Hammouche,Brahim Hammouche,MoDem,MoDem
Cyrille Isaac-Sibille,Cyrille Isaac-Sibille,MoDem,MoDem
Élodie Jacquier-Laforge,Élodie Jacquier-Laforge,MoDem,MoDem
Bruno Joncour,Bruno Joncour,MoDem,MoDem
Jean-Luc Lagleize,Jean-Luc Lagleize,MoDem,MoDem
Fabien Lainé,Fabien Lainé,UDI,MoDem
Mohamed Laqhila,Mohamed Laqhila,MoDem,MoDem
Florence Lasserre David,Florence Lasserre-David,MoDem,MoDem
Philippe Latombe,Philippe Latombe,MoDem,MoDem
Aude Luquet,Aude Luquet,MoDem,MoDem
Jean-Paul Mattei,Jean-Paul Mattei,MoDem,MoDem
Sophie Mette,Sophie Mette,MoDem,MoDem
Philippe Michel-Kleisbauer,Philippe Michel-Kleisbauer,MoDem,MoDem
Patrick Mignola,Patrick Mignola,MoDem,MoDem
Bruno Millienne,Bruno Millienne,MoDem,MoDem
Frédéric Petit,Frédéric Petit,MoDem,MoDem
MAUD MAÏDA YVELISE PETIT,Maud Petit,MoDem,MoDem
Josy Poueyto,Josy Poueyto,MoDem,MoDem
Richard Ramos,Richard Ramos,MoDem,MoDem
Thierry Robert,Thierry Robert,MoDem,MoDem
Marielle de Sarnez,Marielle de Sarnez,MoDem,MoDem
Nicolas Turquois,Nicolas Turquois,MoDem,MoDem
Michèle de Vaucouleurs,Michèle de Vaucouleurs,MoDem,MoDem
Laurence Vichnievsky,Laurence Vichnievsky,MoDem,MoDem
Sylvain Waserman,Sylvain Waserman,MoDem,MoDem
Justine Benin,Justine Benin,DVG,MoDem
Bruno Fuchs,Bruno Fuchs,REM,MoDem
Max Mathiasin,Max Mathiasin,DVG,MoDem
Jean-Michel Pahun,Jimmy Pahun,DIV,MoDem
Joel Aviragnet,Joël Aviragnet,PS,NG
Ericka Bareigts,Ericka Bareigts,PS,NG
Delphine Batho,Delphine Batho,PS,NG
Marie-Noelle Battistel,Marie-Noëlle Battistel,PS,NG
Gisèle Biémouret,Gisèle Biémouret,PS,NG
Christophe Bouillon,Christophe Bouillon,PS,NG
Jean-Louis Bricout,Jean-Louis Bricout,PS,NG
Luc Carvounas,Luc Carvounas,PS,NG
Alain David,Alain David,PS,NG
Laurence Dumont,Laurence Dumont,PS,NG
Olivier Dussopt,Olivier Dussopt,PS,NG
Guillaume Garot,Guillaume Garot,PS,NG
David Habib,David Habib,PS,NG
Régis Juanico,Régis Juanico,PS,NG
Marietta Karamanli,Marietta Karamanli,PS,NG
Jérôme Lambert,Jérôme Lambert,PS,NG
Stéphane Le Foll,Stéphane Le Foll,PS,NG
George Pau Langevin,George Pau-Langevin,PS,NG
Christine Pires Beaune,Christine Pirès-Beaune,PS,NG
Dominique Potier,Dominique Potier,PS,NG
Joaquim Pueyo,Joaquim Pueyo,PS,NG
Francois Pupponi,François Pupponi,PS,NG
Valérie Rabault,Valérie Rabault,PS,NG
Hervé Saulignac,Hervé Saulignac,PS,NG
Cécile Untermaier,Cécile Untermaier,PS,NG
Helene Vainqueur,Hélène Vainqueur-Christophe,PS,NG
Boris Vallaud,Boris Vallaud,PS,NG
Christian Hutin,Christian Hutin,MRC,NG
Serge Letchimy,Serge Letchimy,PPM,NG
Josette Manin,Josette Manin,DVG,NG
Olivier Faure,Olivier Faure,PS,NG
Jean-Félix Acquaviva,Jean-Félix Acquaviva,PaC,NI
Louis Aliot,Louis Aliot,FN,NI
Bruno Bilde,Bruno Bilde,FN,NI
Michel Castellani,Michel Castellani,PaC,NI
Sébastien Chenu,Sébastien Chenu,FN,NI
Collard Gilbert,Gilbert Collard,FN,NI
Paul Andre Colombani,Paul-André Colombani,PaC,NI
Jeanine Dubié,Jeanine Dubié,PRG,NI
Nicolas Dupont-Aignan,Nicolas Dupont-Aignan,DLF,NI
Emmanuelle Menard,Emmanuelle Duverger,FN (app.),NI
M'jid El Guerrab,M'jid El Guerrab,SE,NI
José Evrard,José Évrard,FN,NI
Jean Lassalle,Jean Lassalle,Résistons !,NI
Marine Le Pen,Marine Le Pen,FN,NI
Marie-France Lorho,Marie-France Lorho,LS,NI
Ludovic Laurent Guillaume Pajot,Ludovic Pajot,FN,NI
Sylvia Pinel,Sylvia Pinel,PRG,NI
Olivier Falorni,Olivier Falorni,DVG,"NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
"
Caroline Abadie,Caroline Abadie,REM,REM
Bérangère Abba,Bérangère Abba,REM,REM
Damien Adam,Damien Adam,REM,REM
Lénaïck Adam,Lénaïck Adam,REM,REM
Saïd Ahamada,Saïd Ahamada,REM,REM
Éric Alauzet,Éric Alauzet,EÉLV,REM
Ramlati Ali,Ramlati Ali,PS,REM
Aude Amadou,Aude Amadou,REM,REM
Patrice Anato,Patrice Anato,REM,REM
Pieyre-Alexandre Anglade,Pieyre-Alexandre Anglade,REM,REM
Jean Philippe Ardouin,Jean-Philippe Ardouin,REM,REM
Christophe Arend,Christophe Arend,REM,REM
Gabriel Attal,Gabriel Attal,REM,REM
Laetitia Avia,Laetitia Avia,REM,REM
Florian Bachelier,Florian Bachelier,REM,REM
Delphine Bagarry,Delphine Bagarry,REM,REM
Didier Baichère,Didier Baichère,REM,REM
Frédéric Barbier,Frédéric Barbier,REM,REM
Xavier Batut,Xavier Batut,REM,REM
Sophie Beaudouin-Hubière,Sophie Beaudouin-Hubière,REM,REM
Belkhir Belhaddad,Belkhir Belhaddad,REM,REM
Aurore Bergé,Aurore Bergé,REM,REM
Hervé Berville,Hervé Berville,REM,REM
Gregory Besson Moreau,Grégory Besson-Moreau,REM,REM
Barbara Ballot,Barbara Bessot-Ballot,REM,REM
Anne Blanc,Anne Blanc,REM,REM
Christophe Blanchet,Christophe Blanchet,REM,REM
Yves Blein,Yves Blein,REM,REM
Pascal Bois,Pascal Bois,REM,REM
Bruno Bonnell,Bruno Bonnell,REM,REM
Aude Bono-Vandorme,Aude Bono,REM,REM
Julien Borowczyk,Julien Borowczyk,REM,REM
Éric Bothorel,Éric Bothorel,REM,REM
Florent Boudié,Florent Boudié,REM,REM
Brigitte Bourguignon,Brigitte Bourguignon,REM,REM
Bertrand Bouyx,Bertrand Bouyx,REM,REM
Pascale Boyer,Pascale Boyer,REM,REM
Yaël Braun-Pivet,Yaël Braun-Pivet,REM,REM
Jean-Jacques Bridey,Jean-Jacques Bridey,REM,REM
Blandine Brocard,Blandine Brocard,REM,REM
Anne Brugnera,Anne Brugnera,REM,REM
Danielle Brulebois,Danielle Brulebois,REM,REM
Anne-France Brunet,Anne-France Brunet,REM,REM
Stéphane Buchou,Stéphane Buchou,REM,REM
Carole Bureau-Bonnard,Carole Bureau-Bonnard,REM,REM
Pierre Cabaré,Pierre Cabaré,REM,REM
Céline Calvez,Céline Calvez,REM,REM
Émilie Cariou,Émilie Cariou,REM,REM
Anne Laure Cattelot,Anne-Laure Cattelot,REM,REM
Lionel Causse,Lionel Causse,REM,REM
Danièle Cazarian,Danièle Cazarian,REM,REM
Samantha Cazebonne,Samantha Cazebonne,REM,REM
Jean-René Cazeneuve,Jean-René Cazeneuve,REM,REM
Sébastien Cazenove,Sébastien Cazenove,REM,REM
Anthony Cellier,Anthony Cellier,REM,REM
Jean Francois Cesarini,Jean-François Cesarini,REM,REM
Émilie Chalas,Émilie Chalas,REM,REM
Philippe Chalumeau,Philippe Chalumeau,REM,REM
Annie Chapelier,Annie Chapelier,REM,REM
Sylvie Charrière,Sylvie Charrière,REM,REM
Fannette Charvier,Fannette Charvier,REM,REM
Philippe Chassaing,Philippe Chassaing,REM,REM
Guillaume Chiche,Guillaume Chiche,REM,REM
Stéphane Claireaux,Stéphane Claireaux,PRG,REM
Mireille Clapot,Mireille Clapot,REM,REM
Jean Michel Clement,Jean-Michel Clément,REM,REM
Christine Cloarec,Christine Cloarec,REM,REM
Jean-Charles Colas-Roy,Jean-Charles Colas-Roy,REM,REM
Fabienne Colboc,Fabienne Colboc,REM,REM
François Cormier-Bouligeon,François Cormier-Bouligeon,REM,REM
Bérangère Couillard,Bérangère Couillard,REM,REM
Yolaine de Courson,Yolaine de Courson,REM,REM
Michèle Crouzet,Michèle Crouzet,REM,REM
Dominique Da Silva,Dominique Da Silva,REM,REM
Olivier Damaisin,Olivier Damaisin,REM,REM
Yves Daniel,Yves Daniel,REM,REM
Dominique David,Dominique David,REM,REM
Typhanie Degois,Typhanie Degois,REM,REM
Marc Delatte,Marc Delatte,REM,REM
Michel Delpon,Michel Delpon,REM,REM
Nicolas Démoulin,Nicolas Démoulin,REM,REM
Frédéric Descrozaille,Frédéric Descrozaille,REM,REM
Christophe Di Pompeo,Christophe Di Pompeo,REM,REM
Benjamin Dirx,Benjamin Dirx,REM,REM
Jean-Baptiste Djebbari,Jean-Baptiste Djebbari-Bonnet,REM,REM
Stéphanie Do,Stéphanie Do,REM,REM
Loïc Dombreval,Loïc Dombreval,REM,REM
Jacqueline Dubois,Jacqueline Dubois,REM,REM
Christelle Dubos,Christelle Dubos,REM,REM
Coralie Dubost,Coralie Dubost,REM,REM
Nicole Dubré-Chirat,Nicole Dubré-Chirat,REM,REM
Audrey Dufeu Schubert,Audrey Dufeu-Schubert,REM,REM
Francoise Dumas,Françoise Dumas,REM,REM
Frédérique Dumas,Frédérique Dumas,REM,REM
Stella Dupont,Stella Dupont,REM,REM
Jean-François Eliaou,Jean-François Eliaou,REM,REM
Sophie Errante,Sophie Errante,REM,REM
Christophe Euzet,Christophe Euzet,REM,REM
Catherine Fabre,Catherine Fabre,REM,REM
Élise Fajgeles,Élise Fajgeles,REM,REM
Valéria Faure-Muntian,Valéria Faure-Muntian,REM,REM
Jean-Michel Fauvergue,Jean-Michel Fauvergue,REM,REM
Jean-Marie Fiévet,Jean-Marie Fiévet,REM,REM
Philippe Folliot,Philippe Folliot,AC,REM
Emmanuelle Fontaine-Domeizel,Emmanuelle Fontaine-Domeizel,REM,REM
Pascale Fontenel-Personne,Pascale Fontenel-Personne,REM,REM
Paula Forteza,Paula Forteza,REM,REM
Alexandre Freschi,Alexandre Freschi,REM,REM
Jean-Luc Fugit,Jean-Luc Fugit,REM,REM
Olivier Gaillard,Olivier Gaillard,REM,REM
Albane Gaillot,Albane Gaillot,REM,REM
Grégory Galbadon,Grégory Galbadon,REM,REM
Thomas Gassilloud,Thomas Gassilloud,REM,REM
Raphael Gauvain,Raphaël Gauvain,REM,REM
Laurence Gayte,Laurence Gayte,REM,REM
Anne Genetet,Anne Genetet,REM,REM
Raphael Gerard,Raphaël Gérard,REM,REM
Séverine Gipson,Séverine Gipson,REM,REM
Éric Girardin,Éric Girardin,REM,REM
Joël Giraud,Joël Giraud,REM,REM
Olga Givernet,Olga Givernet,REM,REM
Valérie Gomez-Bassac,Valérie Gomez-Bassac,REM,REM
Guillaume Gouffier-Cha,Guillaume Gouffier-Cha,REM,REM
Perrine Goulet,Perrine Goulet,REM,REM
Fabien Gouttefarde,Fabien Gouttefarde,REM,REM
Carole Grandjean,Carole Grandjean,REM,REM
Florence Granjus,Florence Granjus,REM,REM
Romain Grau,Romain Grau,REM,REM
Olivia Grégoire,Olivia Grégoire,REM,REM
Nicole Trisse,Nicole Gries-Trisse,REM,REM
Émilie Guerel,Émilie Guerel,REM,REM
Stanislas Guerini,Stanislas Guerini,REM,REM
Marie Guévenoux,Marie Guévenoux,REM,REM
Nadia Hai,Nadia Hai,REM,REM
Véronique Hammerer,Véronique Hammerer,REM,REM
Yannick Haury,Yannick Haury,REM,REM
Christine Hennion,Christine Hennion,REM,REM
Pierre Henriet,Pierre Henriet,REM,REM
Danièle Hérin,Danièle Hérin,REM,REM
Alexandre Holroyd,Alexandre Holroyd,REM,REM
Dimitri Houbron,Dimitri Houbron,REM,REM
Sacha Houlié,Sacha Houlié,REM,REM
Philippe Huppé,Philippe Huppé,REM,REM
Monique Iborr,Monique Iborra,REM,REM
Jean-Michel Jacques,Jean-Michel Jacques,REM,REM
Caroline Janvier,Caroline Janvier,REM,REM
Christophe Jerretie,Christophe Jerretie,REM,REM
François Jolivet,François Jolivet,REM,REM
Sandrine Josso,Sandrine Josso,REM,REM
Hubert Julien-Laferrière,Hubert Julien-Laferrière,REM,REM
Catherine Kamowski,Catherine Kamowski,REM,REM
Guillaume Kasbarian,Guillaume Kasbarian,REM,REM
Stéphanie Kerbarh,Stéphanie Kerbarh,REM,REM
Yannick Kerlogot,Yannick Kerlogot,REM,REM
Loic Kervran,Loïc Kervran,REM,REM
Fadila Khattabi,Fadila Khattabi,REM,REM
Anissa Khedher,Anissa Khedher,REM,REM
Rodrigue Kokouendo,Rodrigue Kokouendo,REM,REM
Jacques Krabal,Jacques Krabal,REM,REM
Aina Kuric,Aina Kuric,REM,REM
Mustapha Laabid,Mustapha Laabid,REM,REM
Daniel Labaronne,Daniel Labaronne,REM,REM
Amal Amélia Lakrafi,Amal Amélia Lakrafi,REM,REM
François-Michel Lambert,François-Michel Lambert,REM,REM
Anne-Christine Lang,Anne-Christine Lang,REM,REM
Frederique Lardet,Frédérique Lardet,REM,REM
Jean-Charles Larsonneur,Jean-Charles Larsonneur,REM,REM
Michel Lauzzana,Michel Lauzzana,REM,REM
Célia de Lavergne,Célia de Lavergne,REM,REM
Fiona Lazaar,Fiona Lazaar,REM,REM
Gael Le Bohec,Gaël Le Bohec,REM,REM
Sandrine Le Feur,Sandrine Le Feur,REM,REM
Didier Le Gac,Didier Le Gac,REM,REM
Gilles Le Gendre,Gilles Le Gendre,REM,REM
Annaïg Le Meur,Annaïg Le Meur,REM,REM
Nicole Le Peih,Nicole Le Peih,REM,REM
Fabrice Le Vigoureux,Fabrice Le Vigoureux,REM,REM
Marie Lebec,Marie Lebec,REM,REM
Jean-Claude Leclabart,Jean-Claude Leclabart,REM,REM
Charlotte Lecocq,Charlotte Lecocq,REM,REM
Martine Leguille-Balloy,Martine Leguille-Balloy,REM,REM
Christophe Lejeune,Christophe Lejeune,REM,REM
Marion Lenne,Marion Lenne,REM,REM
Roland Lescure,Roland Lescure,REM,REM
Monique Limon,Monique Limon,REM,REM
Richard Lioger,Richard Lioger,REM,REM
Brigitte Liso,Brigitte Liso,REM,REM
Alexandra Louis,Alexandra Louis,REM,REM
Marie-Ange Magne,Marie-Ange Magne,REM,REM
Sylvain Maillard,Sylvain Maillard,REM,REM
Jacques Maire,Jacques Maire,REM,REM
Jacqueline Maquet,Jacqueline Maquet,REM,REM
Jacques Marilossian,Jacques Marilossian,REM,REM
Sandra Marsaud,Sandra Marsaud,REM,REM
Didier Martin,Didier Martin,REM,REM
Denis Masséglia,Denis Masséglia,REM,REM
Fabien Matras,Fabien Matras,REM,REM
Sereine-solveig Mauborgne,Sereine Solveig Mauborgne,REM,REM
Stéphane Mazars,Stéphane Mazars,REM,REM
Jean François Alex David Lothaire Mbaye,Jean François Mbaye,REM,REM
Graziella Melchior,Graziella Melchior,REM,REM
Ludovic Mendes,Ludovic Mendes,REM,REM
Thomas Mesnier,Thomas Mesnier,REM,REM
Marjolaine Meynier-Millefert,Marjolaine Meynier-Millefert,REM,REM
Monica Michel,Monica Michel,REM,REM
Thierry Michels,Thierry Michels,REM,REM
Patricia Mirallès,Patricia Mirallès,REM,REM
Jean-Michel Mis,Jean-Michel Mis,REM,REM
Paul Molac,Paul Molac,REM,REM
Amélie de Montchalin,Amélie de Montchalin,REM,REM
Sandrine Mörch,Sandrine Mörch,REM,REM
Jean Baptiste Moreau,Jean-Baptiste Moreau,REM,REM
Adrien Morenas,Adrien Morenas,REM,REM
Cendra Motin,Cendra Motin,REM,REM
NaÃ¯ma Moutchou,Naïma Moutchou,REM,REM
Isabelle Muller-Quoy,Isabelle Muller-Quoy,REM,REM
Cécile Muschotti,Cécile Muschotti,REM,REM
Sébastien Nadot,Sébastien Nadot,MdP,REM
Mickaël Nogal,Mickaël Nogal,REM,REM
Delphine O,Delphine O,REM,REM
Claire O'Petit,Claire O'Petit,REM,REM
Valérie Oppelt,Valérie Oppelt,REM,REM
Matthieu Orphelin,Matthieu Orphelin,REM,REM
Catherine Osson,Catherine Osson,REM,REM
Xavier Paluszkiewicz,Xavier Paluszkiewicz,REM,REM
Sophie Panonacle,Sophie Panonacle,REM,REM
Didier Paris,Didier Paris,REM,REM
Zivka Park,Zivka Park,REM,REM
Hervé Pellois,Hervé Pellois,REM,REM
Alain Perea,Alain Péréa,REM,REM
Patrice Perrot,Patrice Perrot,REM,REM
Pierre Person,Pierre Person,REM,REM
Anne-Laurence Petel,Anne-Laurence Petel,REM,REM
Valérie Petit,Valérie Petit,REM,REM
Bénédicte Peyrol,Bénédicte Peyrol,REM,REM
Michèle Peyron,Michèle Peyron,REM,REM
Damien Pichereau,Damien Pichereau,REM,REM
Laurent Pietraszewski,Laurent Pietraszewski,REM,REM
Béatrice Piron,Béatrice Piron,REM,REM
Claire Pitollat,Claire Pitollat,REM,REM
Barbara Pompili,Barbara Pompili,PÉ,REM
Jean Pierre Pont,Jean-Pierre Pont,REM,REM
Jean-François Portarrieu,Jean-François Portarrieu,REM,REM
Benoit Potterie,Benoît Potterie,REM,REM
Éric Poulliat,Éric Poulliat,REM,REM
Natalia Pouzyreff,Natalia Pouzyreff,REM,REM
Bruno Questel,Bruno Questel,REM,REM
Cathy Racon-Bouzon,Cathy Racon-Bouzon,REM,REM
Pierre-Alain Raphan,Pierre-Alain Raphan,REM,REM
Isabelle Rauch,Isabelle Rauch,REM,REM
Rémy Rebeyrotte,Rémy Rebeyrotte,REM,REM
Hugues Renson,Hugues Renson,REM,REM
Cécile Rilhac,Cécile Rilhac,MdP,REM
Véronique Riotton,Véronique Riotton,REM,REM
Stéphanie Rist,Stéphanie Rist,REM,REM
Marie-Pierre Rixain,Marie-Pierre Rixain,REM,REM
Mireille Robert,Mireille Robert,REM,REM
