name,parti,groupe
Caroline Abadie,REM,REM
Bérangère Abba,REM,REM
Damien Adam,REM,REM
Lénaïck Adam,REM,REM
Saïd Ahamada,REM,REM
Éric Alauzet,EÉLV,REM
Ramlati Ali,PS,REM
Aude Amadou,REM,REM
Patrice Anato,REM,REM
Pieyre-Alexandre Anglade,REM,REM
Jean-Philippe Ardouin,REM,REM
Christophe Arend,REM,REM
Gabriel Attal,REM,REM
Laetitia Avia,REM,REM
Florian Bachelier,REM,REM
Delphine Bagarry,REM,REM
Didier Baichère,REM,REM
Frédéric Barbier,REM,REM
Xavier Batut,REM,REM
Sophie Beaudouin-Hubière,REM,REM
Belkhir Belhaddad,REM,REM
Aurore Bergé,REM,REM
Hervé Berville,REM,REM
Grégory Besson-Moreau,REM,REM
Barbara Bessot-Ballot,REM,REM
Anne Blanc,REM,REM
Christophe Blanchet,REM,REM
Yves Blein,REM,REM
Pascal Bois,REM,REM
Bruno Bonnell,REM,REM
Aude Bono,REM,REM
Julien Borowczyk,REM,REM
Éric Bothorel,REM,REM
Florent Boudié,REM,REM
Brigitte Bourguignon,REM,REM
Bertrand Bouyx,REM,REM
Pascale Boyer,REM,REM
Yaël Braun-Pivet,REM,REM
Jean-Jacques Bridey,REM,REM
Blandine Brocard,REM,REM
Anne Brugnera,REM,REM
Danielle Brulebois,REM,REM
Anne-France Brunet,REM,REM
Stéphane Buchou,REM,REM
Carole Bureau-Bonnard,REM,REM
Pierre Cabaré,REM,REM
Céline Calvez,REM,REM
Émilie Cariou,REM,REM
Anne-Laure Cattelot,REM,REM
Lionel Causse,REM,REM
Danièle Cazarian,REM,REM
Samantha Cazebonne,REM,REM
Jean-René Cazeneuve,REM,REM
Sébastien Cazenove,REM,REM
Anthony Cellier,REM,REM
Jean-François Cesarini,REM,REM
Émilie Chalas,REM,REM
Philippe Chalumeau,REM,REM
Annie Chapelier,REM,REM
Sylvie Charrière,REM,REM
Fannette Charvier,REM,REM
Philippe Chassaing,REM,REM
Guillaume Chiche,REM,REM
Stéphane Claireaux,PRG,REM
Mireille Clapot,REM,REM
Jean-Michel Clément,REM,REM
Christine Cloarec,REM,REM
Jean-Charles Colas-Roy,REM,REM
Fabienne Colboc,REM,REM
François Cormier-Bouligeon,REM,REM
Bérangère Couillard,REM,REM
Yolaine de Courson,REM,REM
Michèle Crouzet,REM,REM
Dominique Da Silva,REM,REM
Olivier Damaisin,REM,REM
Yves Daniel,REM,REM
Dominique David,REM,REM
Typhanie Degois,REM,REM
Marc Delatte,REM,REM
Michel Delpon,REM,REM
Nicolas Démoulin,REM,REM
Frédéric Descrozaille,REM,REM
Christophe Di Pompeo,REM,REM
Benjamin Dirx,REM,REM
Jean-Baptiste Djebbari-Bonnet,REM,REM
Stéphanie Do,REM,REM
Loïc Dombreval,REM,REM
Jacqueline Dubois,REM,REM
Christelle Dubos,REM,REM
Coralie Dubost,REM,REM
Nicole Dubré-Chirat,REM,REM
Audrey Dufeu-Schubert,REM,REM
Françoise Dumas,REM,REM
Frédérique Dumas,REM,REM
Stella Dupont,REM,REM
Jean-François Eliaou,REM,REM
Sophie Errante,REM,REM
Christophe Euzet,REM,REM
Catherine Fabre,REM,REM
Élise Fajgeles,REM,REM
Valéria Faure-Muntian,REM,REM
Jean-Michel Fauvergue,REM,REM
Jean-Marie Fiévet,REM,REM
Philippe Folliot,AC,REM
Emmanuelle Fontaine-Domeizel,REM,REM
Pascale Fontenel-Personne,REM,REM
Paula Forteza,REM,REM
Alexandre Freschi,REM,REM
Jean-Luc Fugit,REM,REM
Olivier Gaillard,REM,REM
Albane Gaillot,REM,REM
Grégory Galbadon,REM,REM
Thomas Gassilloud,REM,REM
Raphaël Gauvain,REM,REM
Laurence Gayte,REM,REM
Anne Genetet,REM,REM
Raphaël Gérard,REM,REM
Séverine Gipson,REM,REM
Éric Girardin,REM,REM
Joël Giraud,REM,REM
Olga Givernet,REM,REM
Valérie Gomez-Bassac,REM,REM
Guillaume Gouffier-Cha,REM,REM
Perrine Goulet,REM,REM
Fabien Gouttefarde,REM,REM
Carole Grandjean,REM,REM
Florence Granjus,REM,REM
Romain Grau,REM,REM
Olivia Grégoire,REM,REM
Nicole Gries-Trisse,REM,REM
Émilie Guerel,REM,REM
Stanislas Guerini,REM,REM
Marie Guévenoux,REM,REM
Nadia Hai,REM,REM
Véronique Hammerer,REM,REM
Yannick Haury,REM,REM
Christine Hennion,REM,REM
Pierre Henriet,REM,REM
Danièle Hérin,REM,REM
Alexandre Holroyd,REM,REM
Dimitri Houbron,REM,REM
Sacha Houlié,REM,REM
Philippe Huppé,REM,REM
Monique Iborra,REM,REM
Jean-Michel Jacques,REM,REM
Caroline Janvier,REM,REM
Christophe Jerretie,REM,REM
François Jolivet,REM,REM
Sandrine Josso,REM,REM
Hubert Julien-Laferrière,REM,REM
Catherine Kamowski,REM,REM
Guillaume Kasbarian,REM,REM
Stéphanie Kerbarh,REM,REM
Yannick Kerlogot,REM,REM
Loïc Kervran,REM,REM
Fadila Khattabi,REM,REM
Anissa Khedher,REM,REM
Rodrigue Kokouendo,REM,REM
Jacques Krabal,REM,REM
Aina Kuric,REM,REM
Mustapha Laabid,REM,REM
Daniel Labaronne,REM,REM
Amal Amélia Lakrafi,REM,REM
François-Michel Lambert,REM,REM
Anne-Christine Lang,REM,REM
Frédérique Lardet,REM,REM
Jean-Charles Larsonneur,REM,REM
Michel Lauzzana,REM,REM
Célia de Lavergne,REM,REM
Fiona Lazaar,REM,REM
Gaël Le Bohec,REM,REM
Sandrine Le Feur,REM,REM
Didier Le Gac,REM,REM
Gilles Le Gendre,REM,REM
Annaïg Le Meur,REM,REM
Nicole Le Peih,REM,REM
Fabrice Le Vigoureux,REM,REM
Marie Lebec,REM,REM
Jean-Claude Leclabart,REM,REM
Charlotte Lecocq,REM,REM
Martine Leguille-Balloy,REM,REM
Christophe Lejeune,REM,REM
Marion Lenne,REM,REM
Roland Lescure,REM,REM
Monique Limon,REM,REM
Richard Lioger,REM,REM
Brigitte Liso,REM,REM
Alexandra Louis,REM,REM
Marie-Ange Magne,REM,REM
Sylvain Maillard,REM,REM
Jacques Maire,REM,REM
Jacqueline Maquet,REM,REM
Jacques Marilossian,REM,REM
Sandra Marsaud,REM,REM
Didier Martin,REM,REM
Denis Masséglia,REM,REM
Fabien Matras,REM,REM
Sereine Mauborgne,REM,REM
Stéphane Mazars,REM,REM
Jean François Mbaye,REM,REM
Graziella Melchior,REM,REM
Ludovic Mendes,REM,REM
Thomas Mesnier,REM,REM
Marjolaine Meynier-Millefert,REM,REM
Monica Michel,REM,REM
Thierry Michels,REM,REM
Patricia Mirallès,REM,REM
Jean-Michel Mis,REM,REM
Paul Molac,REM,REM
Amélie de Montchalin,REM,REM
Sandrine Mörch,REM,REM
Jean-Baptiste Moreau,REM,REM
Adrien Morenas,REM,REM
Cendra Motin,REM,REM
Naïma Moutchou,REM,REM
Isabelle Muller-Quoy,REM,REM
Cécile Muschotti,REM,REM
Sébastien Nadot,MdP,REM
Mickaël Nogal,REM,REM
Delphine O,REM,REM
Claire O'Petit,REM,REM
Valérie Oppelt,REM,REM
Matthieu Orphelin,REM,REM
Catherine Osson,REM,REM
Xavier Paluszkiewicz,REM,REM
Sophie Panonacle,REM,REM
Didier Paris,REM,REM
Zivka Park,REM,REM
Hervé Pellois,REM,REM
Alain Péréa,REM,REM
Patrice Perrot,REM,REM
Pierre Person,REM,REM
Anne-Laurence Petel,REM,REM
Valérie Petit,REM,REM
Bénédicte Peyrol,REM,REM
Michèle Peyron,REM,REM
Damien Pichereau,REM,REM
Laurent Pietraszewski,REM,REM
Béatrice Piron,REM,REM
Claire Pitollat,REM,REM
Barbara Pompili,PÉ,REM
Jean-Pierre Pont,REM,REM
Jean-François Portarrieu,REM,REM
Benoît Potterie,REM,REM
Éric Poulliat,REM,REM
Natalia Pouzyreff,REM,REM
Bruno Questel,REM,REM
Cathy Racon-Bouzon,REM,REM
Pierre-Alain Raphan,REM,REM
Isabelle Rauch,REM,REM
Rémy Rebeyrotte,REM,REM
Hugues Renson,REM,REM
Cécile Rilhac,MdP,REM
Véronique Riotton,REM,REM
Stéphanie Rist,REM,REM
Marie-Pierre Rixain,REM,REM
Mireille Robert,REM,REM
Laëtitia Romeiro Dias,REM,REM
Xavier Roseren,REM,REM
Laurianne Rossi,REM,REM
Gwendal Rouillard,REM,REM
Cédric Roussel,REM,REM
Thomas Rudigoz,REM,REM
François de Rugy,PÉ,REM
Pacôme Rupin,REM,REM
Laurent Saint-Martin,REM,REM
Laëtitia Saint-Paul,REM,REM
Nathalie Sarles,REM,REM
Jacques Savatier,REM,REM
Jean-Bernard Sempastous,REM,REM
Olivier Serva,REM,REM
Benoît Simian,REM,REM
Denis Sommer,REM,REM
Joachim Son-Forget,REM,REM
Bertrand Sorre,REM,REM
Bruno Studer,REM,REM
Sira Sylla,REM,REM
Aurélien Taché,REM,REM
Marie Tamarelle-Verhaeghe,REM,REM
Buon Tan,REM,REM
Liliane Tanguy,REM,REM
Adrien Taquet,REM,REM
Jennifer de Temmerman,REM,REM
Jean Terlier,REM,REM
Stéphane Testé,REM,REM
Vincent Thiébaut,REM,REM
Agnès Thill,REM,REM
Sabine Thillaye,REM,REM
Valérie Thomas,REM,REM
Alice Thourot,REM,REM
Huguette Tiegna,REM,REM
Jean-Louis Touraine,REM,REM
Alain Tourret,REM,REM
Elisabeth Toutut-Picard,REM,REM
Stéphane Trompille,REM,REM
Frédérique Tuffnell,REM,REM
Alexandra Valetta-Ardisson,REM,REM
Laurence Vanceunebrock-Mialon,REM,REM
Olivier Véran,REM,REM
Marie-Christine Verdier-Jouclas,REM,REM
Annie Vidal,REM,REM
Patrick Vignal,REM,REM
Corinne Vignon,REM,REM
Cédric Villani,REM,REM
Guillaume Vuilletet,PÉ,REM
Martine Wonner,REM,REM
Hélène Zannier,REM,REM
Jean-Marc Zulesi,REM,REM
François André,PS,REM
Sonia Krimi,DIV,REM
Laurence Maillart-Méhaignerie,MoDem,REM
Manuel Valls,DVG,REM
Richard Ferrand,REM,REM
