name,type,company,description,amount,notes,notes2,notes3,notes4
Brigitte Micouleau,pro,,Assistante de direction à mi-temps,15252 EUR par an,,,,
Marie-Hélène Fabre,pro,,Assistante parlementaire,56846 EUR par an,"4737,2",,,
Étienne Blanc,pro,,Associé SARL,100 EUR,Ai conservé une part dans la SELARL BLANC LARMARAUD BOGUE ANGELI GOSSWEILER,,,
Luc Belot,pro,,Attaché parlementaire de Sénateur,22205 EUR par an,Attaché parlementaire du Sénateur Daniel Raoul - 1850.44 EUR mensuel,,,
Régis Juanico,pro,,Attaché territorial,34278 EUR par an,"Attaché territorial DRH - Région Rhône-Alpes  -  2856,50 EUR net",,,
Cédric Perrin,pro,,Attaché territorial stagiaire (chargé de mission),"37822,56 EUR par an",,,,
Alexis Bachelay,pro,,Attaché territorial Ville de Nanterre,28560 EUR par an,28560,,,
Florence Delaunay,pro,,Attachée territoriale principale Côte Landes Nature,63600 EUR par an,Détachée le 27/09/2014,,,
Françoise Dumas,pro,,Auditeur interne,46981 EUR par an,"3915,14 EUR mensuels",,,
Hervé Féron,pro,,Auteur,1000 EUR par an.,"J'ecris encore ponctuellement quelques textes ou musiques, ce qui me rapporte des droits Sacem lorsque ces œuvres sont interprétées - moins de 1000 EUR par an",,,
Ronan Dantec,pro,,Auteur,1000 EUR par an,"Auteur (expositions, livres illustrés)",,,
Gilbert Collard,pro,,Auteur,7782 EUR par an,"Auteur percevant des droits d'auteur - mensuelle 648,50",,,
Noël Mamère,pro,,Auteur de documentaires télévisés,60547 EUR par an,"5045,65 EUR",,,
Roger-Gérard Schwartzenberg,pro,,Auteur de livres,,droits d'auteur,,,
Jean-Michel Clément,pro,,Avocat,NÉANT,Avocat libéral - AUCUNE Cf résultats ci-dessous,,,
Yves Foulon,pro,,Avocat,NÉANT,Avocat à la Cour SCP AVOCAUIR,,,
Marcel Bonnot,pro,,Avocat,NÉANT,voir BNC (2035) joint,,,
Gilles Bourdouleix,pro,,Avocat,7000 EUR par an,7000,,,
Leila Aïchi,pro,,AVOCAT,22145 EUR par an,,,,
Thani Mohamed Soilihi,pro,,Avocat,60000 EUR par an,5000 EUR / mois,,,
Yves Jégo,pro,,Avocat,61461 EUR par an,AVOCAT Profession libérale exercée à Paris - 61461,,,
