name,type,company,description,amount,notes,notes2,notes3,notes4
Pierre Morel-A-L'Huissier,pro5,,Avocat (inscription 01/10/2010),"2011 : -1913,89  EUR",déficit,,,
Pierre Morel-A-L'Huissier,pro5,,Avocat (inscription 01/10/2010),2012 : -2297  EUR,déficit,,,
Pierre Morel-A-L'Huissier,pro5,,Avocat (inscription 01/10/2010),2013 : -2336  EUR,déficit,,,
Yves Foulon,pro5,,Avocat à la cour SCP Avocagir,,,,,
Hugues Portelli,pro5,,Avocat au barreau de Paris,,,,,
Hervé Gaymard,pro5,,"Avocat au Barreau de Paris, Cabinet Denton Wilde Sapte, devenu SNR Denton (30/04/2009 au 30/01/2011)",120000 EUR par an,10 000 EUR bruts mensuels ( avant cotisations sociales RSI-CNBF-URSSAF et impôt sur le revenu),,,
Jérôme Bignon,pro5,,"Avocat au barreau de Paris, démission au 30 juin 2009",NÉANT,,,,
Jean Glavany,pro5,,Avocat au cabinet 'Parme' depuis 2011,60935 EUR par an,,,,
Philippe Bonnecarrère,pro5,,Avocat de 1997 à ce jour,2014: 1er mois revenu non connu à ce jour,,,,
Philippe Bonnecarrère,pro5,,Avocat de 1997 à ce jour,2013 : 130 000 EUR,,,,
Philippe Bonnecarrère,pro5,,Avocat de 1997 à ce jour,2012 : 104 703 EUR,,,,
Philippe Bonnecarrère,pro5,,Avocat de 1997 à ce jour,2011 : 79203 EUR,,,,
Philippe Bonnecarrère,pro5,,Avocat de 1997 à ce jour,2010 : 92451 EUR,,,,
Philippe Bonnecarrère,pro5,,Avocat de 1997 à ce jour,2009 : 79993 EUR,,,,
Colette Capdevielle,pro5,,Avocate,2012 : BNC idem de 2008 à 2011,Inscrite au Barreau de Bayonne depuis 1988,,,
Henri Tandonnet,pro5,,Avoué à la cour,2011 : 71251 EUR,,,,
Philippe Vigier,pro5,,Biologiste dans un laboratoire d'analyses Cogérant SEL La Madeleine,2012 : 73672 EUR,,,,
Philippe Vigier,pro5,,Biologiste dans un laboratoire d'analyses Cogérant SEL La Madeleine,2011 : 73742  EUR,,,,
Philippe Vigier,pro5,,Biologiste dans un laboratoire d'analyses Cogérant SEL La Madeleine,2010 : 58957 EUR,,,,
Philippe Vigier,pro5,,Biologiste dans un laboratoire d'analyses Cogérant SEL La Madeleine,2009 : 127241  EUR,,,,
Philippe Vigier,pro5,,Biologiste dans un laboratoire d'analyses Cogérant SEL La Madeleine,2008 : 128456  EUR,,,,
Yannick Vaugrenard,pro5,,BNP Paribas (en disponibilité depuis 1990),2010 : 13688 EUR,Réintégration en 2010 pour quelques mois pour atteindre 60 ans,,,
Arnaud Richard,pro5,,Cabinet Développement durable (06/2007-01/2009),84000 EUR par an (06/2007-01/2009),"7000,00 EUR nets par mois",,,
Arnaud Richard,pro5,,Cabinet Emploi (06/2005-05/2007),78000 EUR par an,"6500,00 EUR nets par mois",,,
Jacques Cresta,pro5,,Cadre CAF Pyrenées orientales,30000 EUR par an,,,,
Jean-Noël Carpentier,pro5,,Cadre commercial auprès de la société BERIM,Salaires nets : 2009 : 30 867 2010 : 30 889 2011 : 20 025 (mi-temps à partir du 1er janvier) 2012 : 8 527 (mi-temps et contrat suspendu fin juin) 2013 : néant,,,,
Philippe Noguès,pro5,,Cadre commercial SAS PHILIP MORRIS France,2009 : 50908  EUR,déclarations impots pré-remplies,,,
Philippe Noguès,pro5,,Cadre commercial SAS PHILIP MORRIS France,2010 : 51363  EUR,déclarations impots pré-remplies,,,
Philippe Noguès,pro5,,Cadre commercial SAS PHILIP MORRIS France,2011 : 53290  EUR,déclarations impots pré-remplies,,,
Philippe Noguès,pro5,,Cadre commercial SAS PHILIP MORRIS France,2012 : 54273  EUR,déclarations impots pré-remplies,,,
Philippe Noguès,pro5,,Cadre commercial SAS PHILIP MORRIS France, 2013 : 50262  EUR,cumul imposable,,,
Gérald Darmanin,pro5,,Cadre dans un groupement d'entreprises,34800 EUR par an,"2,9 k",,,
Claude de Ganay,pro5,,Cadre de la fonction publique territoriale (non titulaire) au Conseil Régional du Centre,,1er chevron (HEA) (+ prime de fin d'année et prime de fonction au taux de 0.77),,,
Pierre-Yves Le Borgn',pro5,,Cadre supérieur société First Solar GMBH (démission le 30/06/2012),168000 EUR par an,14000 EUR (salaire mensuel),,,
Anne-Christine Lang,pro5,,Cadre territoriale Région Ile de France Unité Lycées,50400 EUR par an,4200 EUR net mensuels,,,
Gérard Sebaoun,pro5,,Cardiologue libéral (cessation d'activité au 30/06/2012,2012 : 9317  EUR,Revenus imposables NC Pro 2012 : 9317 EUR 2008 : 21349 2009:27586 2010:26233 2011:33052,,,
Gérard Sebaoun,pro5,,Cardiologue libéral (cessation d'activité au 30/06/2012,2008 : 21349 EUR,Revenus imposables NC Pro 2012 : 9317 EUR 2008 : 21349 2009:27586 2010:26233 2011:33052,,,
Gérard Sebaoun,pro5,,Cardiologue libéral (cessation d'activité au 30/06/2012,2009 : 27586 EUR,Revenus imposables NC Pro 2012 : 9317 EUR 2008 : 21349 2009:27586 2010:26233 2011:33052,,,
Gérard Sebaoun,pro5,,Cardiologue libéral (cessation d'activité au 30/06/2012,2010 : 26233 EUR,Revenus imposables NC Pro 2012 : 9317 EUR 2008 : 21349 2009:27586 2010:26233 2011:33052,,,
Gérard Sebaoun,pro5,,Cardiologue libéral (cessation d'activité au 30/06/2012),2011 : 33052 EUR,Revenus imposables NC Pro 2012 : 9317 EUR 2008 : 21349 2009:27586 2010:26233 2011:33052,,,
Alexis Bachelay,pro5,,Centre de gestion FPT Petite couronne 2012,2012 : 684 EUR,,,,
Benoist Apparu,pro5,,Chargé de cours à l'institut d'étude politique de Paris (48 heures par an sur 24 semaines),3000 EUR par an,,,,
André Jean Gattolin,pro5,,Chargé de cours à Paris 3 Sorbonne Nouvelle année 2008 - 2009 et année 2012-2013,"2008 : 904,5 EUR par an",Total salaire imposable perçu sur la période : 1809 EUR,,,
André Jean Gattolin,pro5,,Chargé de cours à Paris 3 Sorbonne Nouvelle année 2008 - 2009 et année 2012-2013,"2012: 904,5 EUR par an",Total salaire imposable perçu sur la période : 1809 EUR,,,
Jean-Yves Le Déaut,pro5,,chargé de cours à Sciences Po Paris depuis 2006,2096 EUR par an,Gratification moyenne de 2096 EUR par an,,,
Christophe Premat,pro5,,Chargé de cours au département d'études romanes de l'Université de Stockholm (01.09.2013 - 30.06.14),12000 EUR par an,,,,
Yann Capet,pro5,,Chargé de cours université du littoral,2011 : 10596 EUR,,,,
Yann Capet,pro5,,Chargé de cours université du littoral,2009 : 3639 EUR,,,,
Didier Marie,pro5,,"Chargé de mision, association démocrate et culture, parti socialiste, du 1er oct 2012 au 31 déc 2013",22800 EUR par an,1900 EUR par mois,,,
Laurent Baumel,pro5,,Chargé de mission,2009 : 73799  EUR,,,,
Laurent Baumel,pro5,,Chargé de mission,2010 : 75144  EUR,,,,
Laurent Baumel,pro5,,Chargé de mission,2011 : 67849  EUR,,,,
Laurent Baumel,pro5,,Chargé de mission,2012 : 61064  EUR,,,,
Patrick Mennucci,pro5,,Chargé de mission à la CNR (7 mois),20000 EUR,,,,
Christian Assaf,pro5,,Chargé de mission à l'office de Tourisme de Montpellier et sa région,42000 EUR par an,3500 EUR net  par  mois,,,
Luc Carvounas,pro5,,Chargé de mission Agglomération Evry Centre essonne (01/2010 au 26/09/2011),54000 EUR par an,,,,
Gwendal Rouillard,pro5,,Chargé de mission au cabinet du Président du Conseil Régional de Bretagne de 11/2007 à 04/2011,32400 EUR par an,,,,
Florent Boudié,pro5,,Chargé de mission auprès du Directeur général des services de la ville de Libourne (05/2011-06/2012),46167 EUR par an,,,,
Hélène Geoffroy,pro5,,Chargé de recherche à l'École nationale des travaux publics de l'État. En détachement depuis le 20 juin 2012,2009-2012: 156719 EUR par an,,,,
Patrice Prat,pro5,,Chargé d'enseignement (vacations) à l'université de Nîmes,3000 EUR par an,net,,,
Jean-Pierre Sueur,pro5,,Chargé d'enseignement vacataire Université d'Orléans,"2009 : 2930,40 EUR",,,,
Jean-Pierre Sueur,pro5,,Chargé d'enseignement vacataire Université d'Orléans,"2010 : 5891,04 EUR",,,,
Jean-Pierre Sueur,pro5,,Chargé d'enseignement vacataire Université d'Orléans,"2011 : 2945,52 EUR",,,,
Jean-Pierre Cantegrit,pro5,,Chargé des relations extérieures du Groupe Castel,"72 881,64 EUR",,,,
Gwenegan Bui,pro5,,Chargé mission cabinet Jean Yves Le Drian - Président Région Bretagne (01/05/2004 - 15/02/2009),"46145,88 EUR",,,,
Françoise Gatel,pro5,,Chargée de mission à la CCI de Rennes (2010-2012),25704 EUR par an,,,,
Sylvie Robert,pro5,,Chargée de mission au Cabinet du Ministre de la Culture (de 11/2012 à 05/2014),25200 EUR par an,2100 EUR brut mensuel soit 1699 EUR,,,
Audrey Linkenheld,pro5,,Chargée de Mission Economie au Cabinet du Conseil Régional Nord Pas de Calais du 01/03/2008 au 31/05/2011,"2009 : 78 751,35 EUR",,,,
Audrey Linkenheld,pro5,,Chargée de Mission Economie au Cabinet du Conseil Régional Nord Pas de Calais du 01/03/2008 au 31/05/2011,"2010 : 78 660,27 EUR",,,,
Audrey Linkenheld,pro5,,Chargée de Mission Economie au Cabinet du Conseil Régional Nord Pas de Calais du 01/03/2008 au 31/05/2011,"2011 : 36 195,50 EUR",,,,
Agnès Canayer,pro5,,Chargée d'enseignement université,2160 EUR par an,180 EUR par mois = 147019 EUR,,,
Agnès Canayer,pro5,,Chargée d'enseignement université,2160 EUR par an,Err:509,,,
Stéphane Travert,pro5,,"Chef de cabinet de Ville de Caen - Contractuel Fonction Publique Territoriale (03/2008 au 17/06/2012, élections législatives)",2009: 56019 EUR,,,,
Stéphane Travert,pro5,,"Chef de cabinet de Ville de Caen - Contractuel Fonction Publique Territoriale (03/2008 au 17/06/2012, élections législatives)",2010: 56540 EUR,,,,
Stéphane Travert,pro5,,"Chef de cabinet de Ville de Caen - Contractuel Fonction Publique Territoriale (03/2008 au 17/06/2012, élections législatives)",2012: 23599 EUR,,,,
Stéphane Travert,pro5,,"Chef de cabinet de Ville de Caen - Contractuel Fonction Publique Territoriale (03/2008 au 17/06/2012, élections législatives)", 2011: 56570 EUR,,,,
Eduardo Rihan Cypel,pro5,,Chef de cabinet du Maire de Bondy,"43858,92 EUR par an","3654,91 EUR net par mois",,,
Gérald Darmanin,pro5,,Chef de cabinet du ministre des Français de l'étranger,108000 EUR par an,,,,
Gérald Darmanin,pro5,,Chef de cabinet du ministre des sports,118000 EUR par an,,,,
Pouria Amirshahi,pro5,,Chef de service Conseil Général de la Charente (depuis 01/2006),28740 EUR par an,traitement indiciaire + primes (dernier bulletin de paie : 2395 EUR),,,
Alain Fauré,pro5,,CHEF D'ENTREPRISE,48000 EUR par an,4000 EUR par mois avant 2013.,,,
Sophie Errante,pro5,,Chef d'entreprise,2011 : 41574 EUR,,,,
Sophie Errante,pro5,,Chef d'entreprise,2010 : 50384 EUR,,,,
Sophie Errante,pro5,,Chef d'entreprise,2009 : 32600 EUR,,,,
Sophie Errante,pro5,,Chef d'entreprise, 2008 : 40396 EUR,,,,
Olivier Cadic,pro5,,Chef d'entreprise - Direction générale de l'entreprise Cinebook Ltd,"2013 : 32604,50 par an","2013 : 7967,61 Livres Sterling net",,,
Olivier Cadic,pro5,,Chef d'entreprise - Direction générale de l'entreprise Cinebook Ltd,"2012 : 6640,06 EUR par an","2009 à 2012 : 7714,63 Livres Sterling net par an",,,
Olivier Cadic,pro5,,Chef d'entreprise - Direction générale de l'entreprise Cinebook Ltd,"2011 : 6640,06 EUR par an",,,,
Olivier Cadic,pro5,,Chef d'entreprise - Direction générale de l'entreprise Cinebook Ltd,"2010 : 6640,06 EUR par an",,,,
Olivier Cadic,pro5,,Chef d'entreprise - Direction générale de l'entreprise Cinebook Ltd,"2009 : 6640,06 EUR par an",,,,
Olivier Cadic,pro5,,Chef d'entreprise - Direction générale de l'entreprise Info Elec Ltd,"2013 : 45015,19 EUR par an","2013 : 32604,50  Livres Sterling net",,,
Olivier Cadic,pro5,,Chef d'entreprise - Direction générale de l'entreprise Info Elec Ltd,"2012 : 6640,06 EUR par an","2009 à 2012 : 6640,06 Livres Sterling net par an",,,
Olivier Cadic,pro5,,Chef d'entreprise - Direction générale de l'entreprise Info Elec Ltd,"2011 : 6640,06 EUR par an",,,,
Olivier Cadic,pro5,,Chef d'entreprise - Direction générale de l'entreprise Info Elec Ltd,"2010 : 6640,06 EUR par an",,,,
Olivier Cadic,pro5,,Chef d'entreprise - Direction générale de l'entreprise Info Elec Ltd,"2009 : 6640,06 EUR par an",,,,
Jean-Charles Taugourdeau,pro5,,Chef d'entreprise jusqu'au 30/11/2010,2009 : 130445 EUR par an,NÉANT,,,
Jean-Charles Taugourdeau,pro5,,Chef d'entreprise jusqu'au 30/11/2010,2010 : 65223 EUR par an,NÉANT,,,
Philippe Briand,pro5,,Chef d'entreprise société SAS ARCHE,2009 : 93510  EUR,,,,
Philippe Briand,pro5,,Chef d'entreprise société SAS ARCHE,2010 : 95645  EUR,,,,
Philippe Briand,pro5,,Chef d'entreprise société SAS ARCHE,2011 : 101792  EUR,,,,
Philippe Briand,pro5,,Chef d'entreprise société SAS ARCHE, 2012 : 88889  EUR,,,,
Philippe Briand,pro5,,Chef d'entreprise société SAS ARCHE,2013 : 101642  EUR,,,,
Anne-Lise Dufour-Tonini,pro5,,Chef d'établissement scolaire du second degrés,54000 EUR par an,4500 EUR par mois,,,
Éric Jalton,pro5,,Chirurgien Dentiste,,AGA de 2008 à 2013 déficit de -70 818 EUR,,,
Dominique Bussereau,pro5,,CMA-CGM jetons présence depuis 2012,Montant global : 12000 EUR,,,,
Roger-Gérard Schwartzenberg,pro5,,CNAV,CNAV : 6505  EUR,,,,
Esther Benbassa,pro5,,CNRS Editions (auteur),2012 : 201 EUR,,,,
Esther Benbassa,pro5,,CNRS Editions (auteur),2013 : 19 EUR,environ,,,
Esther Benbassa,pro5,,CNRS Éditions (auteur),2009 : 1828 EUR,,,,
Stéphane Saint-André,pro5,,Collaborateur de cabinet Ville de DOUVRIN (62),30000 EUR par an,2500par mois,,,
Guillaume Bachelay,pro5,,Collaborateur de député (L. Fabius),"2009 : 60757,92 EUR","5063,16 EUR net mensuel",,,
Guillaume Bachelay,pro5,,Collaborateur de député (L. Fabius),"2010 : 61216,44 EUR","5101,37 EUR net mensuel",,,
Guillaume Bachelay,pro5,,Collaborateur de député (L. Fabius),"2011 : 64142,40 EUR","5345,20 EUR net mensuel",,,
Guillaume Bachelay,pro5,,Collaborateur de député (L. Fabius),"2012 : 64142,40 EUR","5345,20 EUR net mensuel Perçu 31 615,96 EUR solde de tout compte fin contrat",,,
Didier Marie,pro5,,"collaborateur de député, jusqu'en juin 2012, du 1/09/2012 au 15/12/2013",66000 EUR par an,5500 EUR par mois,,,
Eduardo Rihan Cypel,pro5,,Collaborateur de G. ROGER au CG 93,37812 EUR par an,"3111,51 EUR net par mois",,,
François Bonhomme,pro5,,Collaborateur parlementaire,38400 EUR par an,net (pas de dates),,,
Julie Sommaruga,pro5,,Collaboratrice à la Mairie de Paris (07/2008-06/2012),33168 EUR par an,,,,
Marie-Anne Chapdelaine,pro5,,Collaboratrice ADRES :Association Départementale de Recherche et d'Etudes Sociales (03/2007 à 04/2008),18000 EUR par an,,,,
Christine Prunaud,pro5,,Collaboratrice agent d'assurances (AGF Allianz) à Lamballe,"9999,36 EUR",du 30/09/2013 au 01/10/2014,,,
Christine Prunaud,pro5,,Collaboratrice agent d'assurances (AGF Allianz) à Lamballe,19230 EUR,du 1/10/2013 au 30/09/2014,,,
Christine Prunaud,pro5,,Collaboratrice agent d'assurances (AGF Allianz) à Lamballe,2012 : 20297 EUR par an,,,,
Christine Prunaud,pro5,,Collaboratrice agent d'assurances (AGF Allianz) à Lamballe,2011 : 20072 EUR par an,,,,
Christine Prunaud,pro5,,Collaboratrice agent d'assurances (AGF Allianz) à Lamballe,2010 : 19639 EUR par an,,,,
Christine Prunaud,pro5,,Collaboratrice agent d'assurances (AGF Allianz) à Lamballe,2009 : 19185 EUR par an,,,,
Virginie Duby-Muller,pro5,,Collaboratrice de député,"2008 : 39738,03 EUR par an",,,,
Virginie Duby-Muller,pro5,,Collaboratrice de député,"2009 : 40298,05 EUR par an",,,,
Virginie Duby-Muller,pro5,,Collaboratrice de député,"2010 : 41946,59 EUR par an",,,,
Virginie Duby-Muller,pro5,,Collaboratrice de député,"2011 : 34274,4 EUR par an","34274,4 EUR en 2011(congé maternité)",,,
Virginie Duby-Muller,pro5,,Collaboratrice de député,"2012 : 20825,41 EUR par an","20825,41 EUR (jusqu'à juin 2012)",,,
Agnès Canayer,pro5,,Collaboratrice parlementaire,25560 EUR par an,2130 EUR par mois,,,
Agnès Canayer,pro5,,Collaboratrice parlementaire,25560 EUR par an,2130 EUR par mois,,,
Audrey Linkenheld,pro5,,"Collaboratrice parlementaire de Gilles Pargneaux, député européen -","2011 : 45 204,55 EUR",,,,
Audrey Linkenheld,pro5,,"Collaboratrice parlementaire de Gilles Pargneaux, député européen -","2012 : 25 927,98 EUR",,,,
Sonia Lagarde,pro5,,Commerce de prêt à porter,"2008 : 37427,18 EUR",,,,
Sonia Lagarde,pro5,,Commerce de prêt à porter,"2009 : 33268,60 EUR",,,,
Sonia Lagarde,pro5,,Commerce de prêt à porter,"2010 : 33268,60 EUR",,,,
Sonia Lagarde,pro5,,Commerce de prêt à porter,"2011 : 33268,60 EUR",,,,
Sonia Lagarde,pro5,,Commerce de prêt à porter,"2012 : 24951,45 EUR",,,,
Véronique Louwagie,pro5,,Commissariat aux comptes,2009 : 68171  EUR,BNC annuel,,,
Véronique Louwagie,pro5,,Commissariat aux comptes,2010 : 84094  EUR,BNC annuel,,,
Véronique Louwagie,pro5,,Commissariat aux comptes,2011 : 38480  EUR,BNC annuel,,,
Véronique Louwagie,pro5,,Commissariat aux comptes,2012 : 41216  EUR,BNC annuel,,,
Véronique Louwagie,pro5,,Commissariat aux comptes,2013 : 8633  EUR,provisoire - la déclaration BNC sera établie pour le 30 avril 2014,,,
Patricia Morhet-Richaud,pro5,,Comptable à la coopérative agricole Alpes Sudable,"2010 : 16458,03 EUR par an",Employeur identique,,,
Patricia Morhet-Richaud,pro5,,Comptable à la coopérative agricole Alpes Sudable,"2011 : 16774,58 EUR par an",Employeur identique,,,
Patricia Morhet-Richaud,pro5,,Comptable à la coopérative agricole Alpes Sudable,"2012 : 17125,63 EUR par an",Employeur identique,,,
Patricia Morhet-Richaud,pro5,,Comptable à la coopérative agricole Alpes Sudable,"2013 : 17524,59 EUR par an",Employeur identique,,,
Patricia Morhet-Richaud,pro5,,Comptable à la coopérative agricole Alpes Sudable,"2014 : 17885,70 EUR  par an",Employeur identique,,,
Elisabeth Guigou,pro5,,Conférence à l'IEP Paris,2000 EUR par an,,,,
Jean-Pierre Raffarin,pro5,,Conférences,2014 : 42800 EUR par an,,,,
Jean-Pierre Raffarin,pro5,,Conférences,2013 : 78500 EUR par an,,,,
Jean-Pierre Raffarin,pro5,,Conférences,2012 : 69680 EUR par an,,,,
Jean-Pierre Raffarin,pro5,,Conférences,2011 : 75600 EUR par an,,,,
Jean-Pierre Raffarin,pro5,,Conférences,2010 : 40214 EUR par an,,,,
Marie-Lou Marcel,pro5,,Congé charbonnier de fin de carrière (HBCM),46776 EUR par an,3898 EUR mensuels (net),,,
Pierre Charon,pro5,,Conseil économique et social,2009 : 14132  EUR,,,,
Pierre Charon,pro5,,Conseil économique et social,2010 : 13161  EUR,,,,
Pierre Charon,pro5,,Conseil économique et social,2011 : 10961  EUR,,,,
François-Michel Lambert,pro5,,"Conseil en aménagement du territoire pour les collectivités, grands comptes et entreprises",2012 : - 11033 EUR,Déficit sur 16000 EUR HT de chiffre d'affaires,,,
François-Michel Lambert,pro5,,"Conseil en aménagement du territoire pour les collectivités, grands comptes et entreprises",2011 : 35660 EUR,Bénéfice sur 52928 EUR HT de chiffre d'affaires,,,
François-Michel Lambert,pro5,,"Conseil en aménagement du territoire pour les collectivités, grands comptes et entreprises",2010 : 22492 EUR,Bénéfice sur 48436 EUR HT de chiffre d'affaires,,,
François-Michel Lambert,pro5,,"Conseil en aménagement du territoire pour les collectivités, grands comptes et entreprises",2009 : 570 EUR,Bénéfice sur 38400 EUR HT de chiffre d'affaires,,,
François-Michel Lambert,pro5,,"Conseil en aménagement du territoire pour les collectivités, grands comptes et entreprises",2008 : 30238 EUR,Bénéfice sur 63480 EUR HT de chiffre d'affaires,,,
Luc Chatel,pro5,,Conseil et accompagnement en stratégie depuis 05/2012,2012 : 51 000  EUR 2013 : 183 135  EUR,,,,
David Rachline,pro5,,Conseil régional Nord-Pas-de-Calais,2010 : 44400 EUR par mois,3 mois en 2010,,,
Alain Richard,pro5,,Conseiller d'Etat  de 12/2002 à 09/2011,104400 EUR par an,,,,
Philippe Bas,pro5,,Conseiller d'Etat (11/2007 - 08/2011),100 000  EUR par an,net,,,
Pierre Charon,pro5,,Conseiller du Président de la République,2009 : 101430  EUR,,,,
Pierre Charon,pro5,,Conseiller du Président de la République,2010 : 90141  EUR,,,,
Mathieu Hanotin,pro5,,Conseiller du président du Red Star (club de football) (12/2009 - 12/2010),18000 EUR par an,1500 EUR net mensuels,,,
Frédéric Roig,pro5,,Conseiller général,26652 EUR par an,2221 EUR  par  mois,,,
Edouard Philippe,pro5,,Conseiller général (2008-2012),,,,,
Jacques Krabal,pro5,,Conseiller Général de l'Aisne (fin en 12/12),27168 EUR par an,,,,
Gérard Charasse,pro5,,Conseiller général depuis 1998,2012 : 10838 EUR,"1806,41 * 6 : 10838 EUR (6 mois 2012) 1667,42*12 : 19009 EUR au titre année 2013",,,
Gérard Charasse,pro5,,Conseiller général depuis 1998,2013 : 19009 EUR,"1806,41 * 6 : 10838 EUR (6 mois 2012) 1667,42*12 : 19009 EUR au titre année 2013",,,
Philippe Esnol,pro5,,Conseiller Général des Yvelines de 2010 à septembre 2011,NÉANT,,,,
Philippe Bas,pro5,,Conseiller juridique de la RATP (02/à 09/2011),40000 EUR,net,,,
Dominique Lefebvre,pro5,,Conseiller maître à la Cour des comptes,2008 : 106409 EUR,,,,
Dominique Lefebvre,pro5,,Conseiller maître à la Cour des comptes,2009 : 109986 EUR,,,,
Dominique Lefebvre,pro5,,Conseiller maître à la Cour des comptes,2010 : 112859  EUR,,,,
Dominique Lefebvre,pro5,,Conseiller maître à la Cour des comptes,2011 : 116317  EUR,,,,
Dominique Lefebvre,pro5,,Conseiller maître à la Cour des comptes,2012 : 50627  EUR,,,,
Michel Bouvard,pro5,,Conseiller Maître à la cour des comptes à compter d'avril 2013,99600 EUR par an,8300 EUR net mensuel y compris primes de rendement,,,
Sophie Dion,pro5,,Conseiller Présidence de la République,"114486,36 EUR par an",9540.53 EUR net mensuel,,,
Jean-Louis Bricout,pro5,,Conseiller région Picardie (26/03/2010 au 31 07/ 2012),"25084,92 EUR par an",,,,
Yannick Vaugrenard,pro5,,Conseiller régional (2009-2011),33532 EUR par an,100596 EUR,,,
Jean-Louis Carrère,pro5,,Conseiller régional d'Aquitaine 1er Vice Président (Fin du mandat 21/03/2010),22800 EUR par an,,,,
Bruno Le Maire,pro5,,Conseiller régional de Haute-Normandie,21000 EUR par an,1 750 EUR  par  mois,,,
Dominique Bussereau,pro5,,Conseiller Régional de Poitou Charentes,03/2010 à 07/2010 : 14892 EUR par an,,,,
Henri Guaino,pro5,,Conseiller spécial du Président de la République (05/2007 - 05/2012),"214216,92 EUR par an + primes","nette mensuelle (2012) 17851,41 Eur (Traitement) +primes",,,
Olivier Marleix,pro5,,Conseiller technique à la Présidence de la République,2007 : 6800  EUR,,,,
Olivier Marleix,pro5,,Conseiller technique à la Présidence de la République,2008 : 6800  EUR,,,,
Olivier Marleix,pro5,,Conseiller technique à la Présidence de la République, 2009 : 7756  EUR,,,,
Olivier Marleix,pro5,,Conseiller technique à la Présidence de la République,2010 : 7756  EUR,,,,
Olivier Marleix,pro5,,Conseiller technique à la Présidence de la République, 2011 : 7756  EUR,,,,
Jean-David Ciot,pro5,,Conseiller technique au cabinet du président du conseil général en charge de l'évaluation des politiques publiques (02/2009 à 05/2011),"60839,40 EUR par an",,,,
Florent Boudié,pro5,,Conseiller technique au cabinet du Président du Conseil régional d'Aquitaine (février 2003 à octobre 2007),"33663,48 EUR par an",,,,
Nuihau Laurey,pro5,,"Conseiller technique auprès du minitère de la reconversion économique, du commerce extérieur, de l'industrie et de l'entreprise, en charge de l'économie numérique et du développement des technologies vertes",2009-2011 : 100560 EUR par an,,,,
Emeric Bréhier,pro5,,Conseiller technique auprès du président du Conseil Régional d'Ile-de-France (06/2004 -09/2008),56400 EUR par an,,,,
Frédéric Lefebvre,pro5,,Conseiller UMP auprès du secrétariat général,2010: 37342 EUR par an,130690 EUR du 01/01/2010 au 13/11/2010,,,
Elisabeth Pochon,pro5,,Conseillère principale d'éducation (détachée depuis le 20 juin 2012),2012 : 27852 EUR,,,,
Natacha Bouchart,pro5,,Conseillère régionale,Plafonnement,,,,
Chantal Jouanno,pro5,,Conseillère Régionale d'Ile de France depuis 03/2010,24792 EUR par an,2 066 EUR net mensuel,,,
Razzy Hammadi,pro5,,Consultant à HQG Conseil (2008-2009),28872 EUR par an,2406 EUR net mensuels,,,
Daniel Fasquelle,pro5,,"Consultant juridique (Consultation, direction scientifique de colloques...)",2009 : 15000 EUR,rétributions variables cf. annexes. (document 1),,,
Daniel Fasquelle,pro5,,"Consultant juridique (Consultation, direction scientifique de colloques...)",2010 : 3000 EUR,rétributions variables cf. annexes. (document 1),,,
Daniel Fasquelle,pro5,,"Consultant juridique (Consultation, direction scientifique de colloques...)",2011 : 12500 EUR,rétributions variables cf. annexes. (document 1),,,
Daniel Fasquelle,pro5,,"Consultant juridique (Consultation, direction scientifique de colloques...)",2012 : 11000 EUR,rétributions variables cf. annexes. (document 1),,,
Daniel Fasquelle,pro5,,"Consultant juridique (Consultation, direction scientifique de colloques...)",2013 : 15000 EUR,rétributions variables cf. annexes. (document 1),,,
Valérie Lacroute,pro5,,Consultant transports. Auto-entrepreneur,56806  EUR,,,,
Nathalie Chabanne,pro5,,Consultante à l'agence publique de gestion locale (jusqu'au 31/08/2010) en détachement,24576 EUR par an,,,,
Sylvain Berrios,pro5,,Contractuel Fonction Publique (01/2009- 09/2012),60000 EUR par an,,,,
Robert Olive,pro5,,Contrôleur Principal des Douanes (retraité en 2012),2010 : 32282 EUR,,,,
Robert Olive,pro5,,Contrôleur Principal des Douanes (retraité en 2012),2011 : 33645 EUR,,,,
Claude Raynal,pro5,,"Cours assurés dans différents organismes (Institut d'Etudes Politiques, INSA etc.)",1770 EUR par an,,,,
Fanélie Carrey-Conte,pro5,,Déléguée à la vie associative à l'UNHAJ (Union nationale pour l'habitat des Jeunes) de mars 2008 à juillet 2010,"28092,36 EUR par an",,,,
Fanélie Carrey-Conte,pro5,,Déléguée nationale de l'ESPER de juillet 2010 à juillet 2012,"36872,88 EUR par an",,,,
Catherine Beaubatie,pro5,,Depuis 06/2012 enseignante en détachement,,,,,
Frédéric Roig,pro5,,Député,64428 EUR par an,5369 EUR  par  mois,,,
Guillaume Bachelay,pro5,,Député,"2013 : 64434,72 EUR","Indemnité parlementaire : base 5514,68 EUR net 5369,56 EUR",,,
Karine Berger,pro5,,Député,2012 : 31000 EUR,,,,
Karine Berger,pro5,,Député,2013 : 50262 EUR,,,,
Philippe Folliot,pro5,,Député,,,,,
Pierre Lellouche,pro5,,Député,,Voir déclarations IR + BNC pour la période (jointes en annexe),,,
François de Mazières,pro5,,Député,,,,,
Gilbert Le Bris,pro5,,Député,270.000 €,,,,
Jean-Christophe Lagarde,pro5,,Député,"67602,24 EUR par an","5633,52 EUR par mois",,,
