name,departement,mandat,parti,groupe
Guillaume Peltier,41,Député,LR,LR
Gilles Lurton,35,Député,LR,LR
Geneviève Levy,83,Député,LR,LR
Gaël Le Bohec,35,Député,REM,REM
Frédéric Petit,99,Député,MoDem,MoDem
Fabien Di Filippo,57,Député,LR,LR
Erwan Balanant,29,Député,REM,MoDem
Elisabeth Doineau,53,Sénateur,UDRL,UC
Cédric Roussel,6,Député,REM,REM
Corinne IMBERT,17,Sénateur,LR,LR
Christophe Naegelen,88,Député,DVD,LC
Christophe Bouillon,76,Député,PS,NG
Christine Cloarec,35,Député,REM,REM
Christine Bonfanti-Dossat,47,Sénateur,LR,LR
Charles REVET,76,Sénateur,LR,LR
Bernard LALANDE,17,Sénateur,PS,SOC
Benoît Simian,33,Député,REM,REM
Alain Bertrand,48,Sénateur,REM,RDSE
ALAIN MILON,84,Sénateur,LR,LR
Éric Straumann,68,Député,LR,LR
fabien gay,93,Sénateur,PCF,CRCE
dominique de LEGGE,35,Sénateur,LR,LR
christian cambon,94,Sénateur,LR,LR
bernard jomier,75,Sénateur,PRG,SOC
Valérie Rabault,82,Député,PS,NG
Valérie Bazin-Malgras,10,Député,LR,LR
Thierry Solère,92,Député,LR,LC
Thierry Benoit,35,Député,UDI,LC
Sébastien Leclerc,14,Député,LR,LR
Sébastien Huyghe,59,Député,LR,LR
Sylvia Pinel,82,Député,PRG,NI
Stéphane ARTANO,975,Sénateur,Archipel demain,RDSE
Sebastien meurant,95,Sénateur,LR,LR
Sandrine Le Feur,29,Député,REM,REM
Richard Ferrand,29,Député,REM,REM
René-Paul SAVARY,51,Sénateur,LR,LR
Pierre Cordier,8,Député,DVD,LR
Philippe Nachbar,54,Sénateur,LR,LR
Philippe Dunoyer,988,Député,CE,LC
Philippe Bolo,49,Député,MoDem,MoDem
Philippe Berta,30,Député,REM,MoDem
Paul-André Colombani,2A,Député,PaC,NI
Patrice Perrot,58,Député,REM,REM
Pascale Gruny,2,Sénateur,LR,LR
PATRICK KANNER,59,Sénateur,PS,SOC
OLIVIER LEONHARDT,91,Sénateur,NI,RDSE
Nadia Ramassamy,974,Député,DVD,LR
NATHALIE GOULET,61,Sénateur,UDLR,UC
Monique LUBIN,40,Sénateur,PS,SOC
Moetai Brotherson,987,Député,TH,GDR
Mireille Jouve,13,Sénateur,PRG,RDSE
Michel CANEVET,29,Sénateur,REM,UC
Mathieu Darnaud,7,Sénateur,LR,LR
Martine Berthet Cottarel,73,Sénateur,LR,LR
Marta de Cidrac,78,Sénateur,LR,LR
Loïc Dombreval,06,Député,REM,REM
Louis Aliot,66,Député,FN,NI
Lise Magnier,51,Député,LR,LC
Jocelyne GUIDEZ,91,Sénateur,UDLR,UC
Jean-René Cazeneuve,32,Député,REM,REM
Jean-Pierre Vigier,43,Député,LR,LR
Jean-Pierre GRAND,34,Sénateur,LR,LR
Jean-Paul Dufrègne,3,Député,PCF,GDR
Jean-Louis Touraine,69,Député,REM,REM
Jean-Jacques Gaultier,88,Député,LR,LR
Jean-Jacques Ferrara,2A,Député,LR,LR
Jean-Bernard Sempastous,65,Député,REM,REM
Jean Pierre Bansard,998,Sénateur,LR,LR
Jacques MAGNER,63,Sénateur,PS,SOC
Hélène Zannier,57,Député,REM,REM
Henri LEROY,6,Sénateur,LR,LR
Henri Cabanel,34,Sénateur,PS,RDSE
Guillaume Garot,53,Député,PS,NG
Gilles Carrez,94,Député,LR,LR
François-Michel Lambert,13,Député,REM,REM
François Cornut-Gentille,52,Député,LR,LR
Evelyne PERROT,10,Sénateur,UDI,RASNAG
Esther BENBASSA,75,Sénateur,EELV,CRCE
Eric Kerrouche,40,Sénateur,PS,SOC
Dominique Verien,89,Sénateur,UDI,UC
Dominique Potier,54,Député,PS,NG
Daniel DUBOIS,80,Sénateur,UDLR,UC
Damien Abad,1,Député,LR,LR
Christophe Di Pompeo,59,Député,REM,REM
Christine HERZOG,57,Sénateur,DLF,RASNAG
Christian Jacob,77,Député,LR,LR
Charles de Courson,51,Député,LC,LC
Bernard Brochand,6,Député,LR,LR
Benoît Potterie,62,Député,REM,REM
Benjamin Dirx,71,Député,REM,REM
Barbara Bessot-Ballot,70,Député,REM,REM
Aude Bono,2,Député,REM,REM
Alain Tourret,14,Député,REM,REM
Abdallah Hassani,976,Sénateur,REM,REM
Éric Diard,13,Député,LR,LR
Éric Bothorel,22,Député,REM,REM
Éric Alauzet,25,Député,EÉLV,REM
philippe bonnecarrere,81,Sénateur,REM,UC
marie-pierre MONIER,26,Sénateur,PS,SOC
brigitte lherbier,59,Sénateur,LR,LR
Yannick Kerlogot,22,Député,REM,REM
Yannick Botrel,22,Sénateur,PS,SOC
Xavier Roseren,74,Député,REM,REM
Xavier Breton,1,Député,LR,LR
Thomas Rudigoz,69,Député,REM,REM
Thani Mohamed Soilihi,976,Sénateur,REM,REM
Sébastien Jumel,76,Député,PCF,GDR
Stéphanie Kerbarh,76,Député,REM,REM
Stéphane Buchou,85,Député,REM,REM
Sophie Mette,33,Député,MoDem,MoDem
Sandra Marsaud,16,Député,REM,REM
Sacha Houlié,86,Député,REM,REM
Sabine Thillaye,37,Député,REM,REM
Romain Grau,66,Député,REM,REM
Robin Reda,91,Député,LR,LR
Raymond VALL,32,Sénateur,PRG,RDSE
Pierre Ouzoulias,92,Sénateur,PCF,CRCE
Pierre FROGIER,988,Sénateur,Rassemblement LR - RCR,LR
Pierre Dharréville,13,Député,PCF,GDR
Philippe Vigier,28,Député,LC,LC
Philippe DALLIER,93,Sénateur,LR,LR
Patrick Vignal,34,Député,REM,REM
Patrick Mignola,73,Député,MoDem,MoDem
Patrick Hetzel,67,Député,LR,LR
Pacôme Rupin,75,Député,REM,REM
PHILIPPE MOUILLER,79,Sénateur,LR,LR
Olivier HENNO,59,Sénateur,UDLR,UC
Olivier Gaillard,30,Député,REM,REM
Olivier CADIC,99,Sénateur,UDLR,UC
Michèle Vullien,69,Sénateur,UDLR,UC
Michel SAVIN,38,Sénateur,LR,LR
Michel Forissier,69,Sénateur,LR,LR
Michel Fanget,63,Député,MoDem,MoDem
Max Mathiasin,971,Député,DVG,MoDem
Martine Leguille-Balloy,85,Député,REM,REM
Martin Lévrier,78,Sénateur,REM,REM
Marine Le Pen,62,Député,FN,NI
Marie-Pierre de la Gontrie,75,Sénateur,PS,SOC
Marianne Dubois,45,Député,LR,LR
Marc Delatte,2,Député,REM,REM
Manuel Valls,91,Député,DVG,REM
Maie-Christine Chauvin,39,Sénateur,LR,LR
MARC DAUBRESSE,59,Sénateur,LR,LR
Luc Carvounas,94,Député,PS,NG
Laurent Pietraszewski,59,Député,REM,REM
Laurence Maillart-Méhaignerie,35,Député,MoDem,REM
Laurence HARRIBEY,33,Sénateur,PS,SOC
Jérôme Durain,71,Sénateur,PS,SOC
Julien Dive,2,Député,LR,LR
Joël Labbé,56,Sénateur,EELV,RDSE
Joachim Son-Forget,99,Député,REM,REM
Jimmy Pahun,56,Député,DIV,MoDem
Jean-Raymond Hugonet,91,Sénateur,LR,LR
Jean-Marie MORISSET,79,Sénateur,LR,LR
Jean-Marc Todeschini,57,Sénateur,PS,SOC
Jean-Marc GABOUTY,87,Sénateur,UDRL,RDSE
Jean-Marc BOYER,63,Sénateur,LR,LR
Jean-Luc Warsmann,8,Député,LR,LC
Jean-Luc Reitzer,68,Député,LR,LR
Jean-Louis Bricout,2,Député,PS,NG
Jean-Jacques LOZACH,23,Sénateur,PS,SOC
Jean-François Eliaou,34,Député,REM,REM
Jean-Claude Leclabart,80,Député,REM,REM
Jean-Carles Grelier,72,Député,LR,LR
Jean Terlier,81,Député,REM,REM
Jean François Mbaye,94,Député,REM,REM
Jacques Marilossian,92,Député,REM,REM
JOURDA Muriel,56,Sénateur,LR,LR
JEAN-PIERRE MOGA,47,Sénateur,UDRL,UC
JEAN SOL,66,Sénateur,LR,LR
JEAN PIERRE DECOOL,59,Sénateur,UDRL,RTLI
Isabelle Rauch,57,Député,REM,REM
Huguette Bello,974,Député,MPR,GDR
Hervé MAUREY,27,Sénateur,UDLR,UC
Gérard LARCHER,78,Sénateur,LR,LR
Guy Teissier,13,Député,LR,LR
Guy Bricout,59,Député,UDI,LC
Guillaume Vuilletet,95,Député,PÉ,REM
Guillaume Gontard,38,Sénateur,EELV,CRCE
Gilbert Collard,30,Député,FN,NI
Frédéric Reiss,67,Député,LR,LR
Fabien Matras,83,Député,REM,REM
FLORENCE LASSARADE,33,Sénateur,LR,LR
Emmanuelle Fontaine-Domeizel,4,Député,REM,REM
Emmanuelle Anthoine,26,Député,LR,LR
Emmanuel Maquet,80,Député,DVD,LR
Elsa Faucillon,92,Député,PCF,GDR
Edouard COURTIAL,60,Sénateur,LR,LR
Dino Cinieri,42,Député,LR,LR
Denis Sommer,25,Député,REM,REM
Danièle Hérin,11,Député,REM,REM
Danielle Brulebois,39,Député,REM,REM
DANY WATTEBLED,59,Sénateur,UDRL,RTLI
Clémentine Autain,93,Député,E!,FI
Claude Raynal,31,Sénateur,PS,SOC
Claude Goasguen,75,Député,LR,LR
Christophe PRIOU,44,Sénateur,LR,LR
Christophe Lejeune,70,Député,REM,REM
Christophe Arend,57,Député,REM,REM
Christine Lavarde,92,Sénateur,LR,LR
Charles de La Verpillière,1,Député,LR,LR
Caroline Abadie,38,Député,REM,REM
CATHERINE DEROCHE,49,Sénateur,LR,LR
Bruno Questel,27,Député,REM,REM
Bruno Nestor Azerot,972,Député,RDM app.,GDR
Bernard Delcros,15,Sénateur,UDI,UC
Bernard Deflesselles,13,Député,LR,LR
BOCKEL JEAN-MARIE,68,Sénateur,UDLR,UC
Aurore Bergé,78,Député,REM,REM
Antoine SAVIGNAT,95,Député,LR,LR
Antoine LEFEVRE,02,Sénateur,LR,LR
Antoine Herth,67,Député,LR,LC
Annie Vidal,76,Député,REM,REM
André Villiers,89,Député,UDI,LC
André Chassaigne,63,Député,PCF,GDR
Alice Thourot,26,Député,REM,REM
Alain Ramadier,93,Député,LR,LR
Alain MARC,12,Sénateur,UDRL,RTLI
Agnès CANAYER,76,Sénateur,LR,LR
Éric Pauget,6,Député,LR,LR
Éric Girardin,51,Député,REM,REM
Éric Coquerel,93,Député,PG,FI
sébastien LEROUX,61,Sénateur,LR,LR
marie-thérèse BRUGUIERE,34,Sénateur,LR,LR
jean luc FICHET,29,Sénateur,PS,SOC
gilbert ROGER,93,Sénateur,PS,SOC
gilbert BOUCHET,26,Sénateur,LR,LR
françois bonhomme,82,Sénateur,LR,LR
catherine CONCONNE,972,Sénateur,PGM,SOC
Yves Daniel,44,Député,REM,REM
Yves DETRAIGNE,51,Sénateur,UDLR,UC
Yannick Haury,44,Député,REM,REM
Véronique Hammerer,33,Député,REM,REM
Virginie Duby-Muller,74,Député,LR,LR
Vincent Thiébaut,67,Député,REM,REM
Vincent Rolland,73,Député,LR,LR
Vincent Ledoux,59,Député,LR,LC
Vincent Descœur,15,Député,LR,LR
Vincent Delahaye,91,Sénateur,UDLR,UC
Vincent Bru,64,Député,MoDem,MoDem
Victoire JASMIN,971,Sénateur,PGM,SOC
Valérie Oppelt,44,Député,REM,REM
Valérie Lacroute,77,Député,LR,LR
Valérie Boyer,13,Député,LR,LR
Valérie Beauvais,51,Député,LR,LR
Sébastien Nadot,31,Député,MdP,REM
Sébastien Chenu,59,Député,FN,NI
Sylvie Goy-Chavent,1,Sénateur,UDLR,UC
Sylvain Maillard,75,Député,REM,REM
Stéphanie Rist,45,Député,REM,REM
Stéphanie Do,77,Député,REM,REM
Stéphane Trompille,1,Député,REM,REM
Stéphane Le Foll,72,Député,PS,NG
Stéphane Demilly,80,Député,LC,LC
Stéphane Claireaux,975,Député,PRG,REM
Sophie Errante,44,Député,REM,REM
Serge Letchimy,972,Député,PPM,NG
Sereine Solveig Mauborgne,83,Député,REM,REM
Sarah El Haïry,44,Député,MoDem,MoDem
Sandrine Josso,44,Député,REM,REM
SYLVIE VERMEILLET,39,Sénateur,UDLR,UC
Richard Ramos,45,Député,MoDem,MoDem
Richard Lioger,57,Député,REM,REM
Raphaël Gérard,17,Député,REM,REM
Raphaël Gauvain,71,Député,REM,REM
ROGER KAROUTCHI,92,Sénateur,LR,LR
Pierre Morel-À-L'Huissier,48,Député,LR,LC
Pierre Laurent,75,Sénateur,PCF,CRCE
Pierre LOUAULT,37,Sénateur,UDLR,UC
Pierre Henriet,85,Député,REM,REM
Philippe PAUL,29,Sénateur,LR,LR
Philippe Latombe,85,Député,MoDem,MoDem
Philippe Folliot,81,Député,AC,REM
Paula Forteza,75,Député,REM,REM
Patrick Chaize,1,Sénateur,LR,LR
Patrice Verchère,69,Député,LR,LR
Patrice JOLY,58,Sénateur,PS,SOC
Pascale Fontenel-Personne,72,Député,REM,REM
Pascale Boyer,05,Député,REM,REM
Pascale BORIES,30,Sénateur,LR,LR
Pascal Bois,60,Député,REM,REM
Olivier PACCAUD,60,Sénateur,LR,LR
Olivier Marleix,28,Député,LR,LR
Olivier Faure,77,Député,PS,NG
Olivier Falorni,17,Député,DVG,NI
Olga Givernet,1,Député,REM,REM
OLIVIER JACQUIN,54,Sénateur,PS,SOC
Naïma Moutchou,95,Député,REM,REM
Nathalie Elimas,95,Député,MoDem,MoDem
Nadine Grelet-Certenais,72,Sénateur,PS,SOC
Monica Michel,13,Député,REM,REM
Mireille Robert,11,Député,REM,REM
Mireille Clapot,26,Député,REM,REM
Michèle Tabarot,6,Député,LR,LR
Michelle MEUNIER,44,Sénateur,PS,SOC
Michel Vaspart,22,Sénateur,LR,LR
Michel LAUGIER,78,Sénateur,UDLR,UC
Michel Herbillon,94,Député,LR,LR
Meyer Habib,99,Député,UDI,LC
Maurice Leroy,41,Député,LC,LC
Maud Petit,94,Député,MoDem,MoDem
Maryse CARRÈRE,65,Sénateur,PRG,RDSE
Marjolaine Meynier-Millefert,38,Député,REM,REM
Marine Brenier,6,Député,LR,LC
Marietta Karamanli,72,Député,PS,NG
Marie-George Buffet,93,Député,PCF,GDR
Marie-Françoise PEROL-DUMONT,87,Sénateur,PS,SOC
Marie-France Lorho,84,Député,LS,NI
Marie-Christine Dalloz,39,Député,LR,LR
Marie Tamarelle-Verhaeghe,27,Député,REM,REM
Marc Le Fur,22,Député,LR,LR
Maina Sage,987,Député,TH,LC
MICHEL DENNEMONT,974,Sénateur,REM,REM
Ludovic Pajot,62,Député,FN,NI
Liliane Tanguy,29,Député,REM,REM
Laurence Vichnievsky,63,Député,MoDem,MoDem
Laure Darcos,91,Sénateur,LR,LR
Laetitia Avia,75,Député,REM,REM
LAURENT DUPLOMB,43,Sénateur,LR,LR
Jérôme BASCHER,60,Sénateur,LR,LR
Julien Borowczyk,42,Député,REM,REM
Julien Aubert,84,Député,LR,LR
Joaquim Pueyo,61,Député,PS,NG
Jean-Yves LECONTE,998,Sénateur,PS,SOC
Jean-Yves Bony,15,Député,LR,LR
Jean-Pierre Pont,62,Député,REM,REM
Jean-Pierre Cubertafon,24,Député,MoDem,MoDem
Jean-Philippe Nilor,972,Député,MIM,GDR
Jean-Philippe Ardouin,17,Député,REM,REM
Jean-Noël Barrot,78,Député,MoDem,MoDem
Jean-Michel HOULLEGATTE,50,Sénateur,PS,SOC
Jean-Marie Vanlerenberghe,62,Sénateur,MoDem,UC
Jean-Marie MIZZON,57,Sénateur,UDLR,UC
Jean-Marie JANSSENS,41,Sénateur,UDLR,UC
Jean-Marc Zulesi,13,Député,REM,REM
Jean-François Cesarini,84,Député,REM,REM
Jean-Claude Bouchet,84,Député,LR,LR
Jean-Charles Colas-Roy,38,Député,REM,REM
Jean-Baptiste Moreau,23,Député,REM,REM
Jean-Baptiste Djebbari-Bonnet,87,Député,REM,REM
Jean BIZET,50,Sénateur,LR,LR
Jacques Le Nay,56,Sénateur,UDLR,UC
Jacques GENEST,7,Sénateur,LR,LR
Jacqueline Maquet,62,Député,REM,REM
Jacqueline EUSTACHE BRINIO,95,Sénateur,LR,LR
JEAN-CLAUDE REQUIER,46,Sénateur,PRG,RDSE
Isabelle raimond-pavero,37,Sénateur,LR,LR
Isabelle Valentin,43,Député,LR,LR
Hélène Vainqueur-Christophe,971,Député,PS,NG
Huguette Tiegna,46,Député,REM,REM
Hugues SAURY,45,Sénateur,LR,LR
Helene Conway-Mouret,99,Sénateur,PS,SOC
Gwendal Rouillard,56,Député,REM,REM
Guillaume CHEVROLLIER,53,Sénateur,LR,LR
Graziella Melchior,29,Député,REM,REM
Georges Patient,973,Sénateur,PS,REM
Gabriel Attal,92,Député,REM,REM
Frédérique Puissat,38,Sénateur,LR,LR
Frédérique Meunier,19,Député,LR,LR
Frédérique Lardet,74,Député,REM,REM
Frédéric Barbier,25,Député,REM,REM
Frederic MARCHAND,59,Sénateur,REM,REM
Françoise Dumas,30,Député,REM,REM
François de Rugy,44,Député,PÉ,REM
François Ruffin,80,Député,Picardie-Debout,FI
François Pupponi,95,Député,PS,NG
François André,35,Député,PS,REM
Franck Riester,77,Député,LR,LC
Franck Marlin,91,Député,LR,LR
Florent Boudié,33,Député,REM,REM
Fadila Khattabi,21,Député,REM,REM
Fabrice Le Vigoureux,14,Député,REM,REM
Fabrice Brun,07,Député,LR,LR
Fabien Lainé,40,Député,UDI,MoDem
Ericka Bareigts,974,Député,PS,NG
Emmanuelle Duverger,34,Député,FN (app.),NI
Elisabeth Toutut-Picard,31,Député,REM,REM
Didier Quentin,17,Député,LR,LR
Didier Marie,76,Sénateur,PS,SOC
Didier Baichère,78,Député,REM,REM
Delphine Bagarry,4,Député,REM,REM
Daniel Labaronne,37,Député,REM,REM
Daniel LAURENT,17,Sénateur,LR,LR
Colette Mélot,77,Sénateur,UDRL,RTLI
Claudine THOMAS,77,Sénateur,LR,LR
Claudine KAUFFMANN,83,Sénateur,NI,RASNAG
Claude de Ganay,45,Député,LR,LR
Christophe Euzet,34,Député,REM,REM
Christine Pirès-Beaune,63,Député,PS,NG
Christine Hennion,92,Député,REM,REM
Cecile Cukierman,42,Sénateur,PCF,CRCE
Catherine PROCACCIA,94,Sénateur,LR,LR
Catherine Kamowski,38,Député,REM,REM
Carole Bureau-Bonnard,60,Député,REM,REM
Bérengère Poletti,8,Député,LR,LR
Bruno Millienne,78,Député,MoDem,MoDem
Bruno Fuchs,68,Député,REM,MoDem
Bruno Bilde,62,Député,FN,NI
Brigitte Bourguignon,62,Député,REM,REM
Blandine Brocard,69,Député,REM,REM
Bertrand Sorre,50,Député,REM,REM
Bertrand Pancher,55,Député,UDI-Rad.,LC
Bertrand Bouyx,14,Député,REM,REM
Bernard Perrut,69,Député,LR,LR
Belkhir Belhaddad,57,Député,REM,REM
Bastien Lachaud,93,Député,PG,FI
BRIGITTE MICOULEAU,31,Sénateur,LR,LR
Aude Amadou,44,Député,REM,REM
Arnaud Bazin,95,Sénateur,LR,LR
Anthony Cellier,30,Député,REM,REM
Annie Genevard,25,Député,LR,LR
Anne-Christine Lang,75,Député,REM,REM
Anne Blanc,12,Député,REM,REM
Annaïg Le Meur,29,Député,REM,REM
Alexis Corbière,93,Député,PG,FI
Alexandra Louis,13,Député,REM,REM
Alain Péréa,11,Député,REM,REM
Alain David,33,Député,PS,NG
Alain Bruneel,59,Député,PCF,GDR
ALAIN DURAN,9,Sénateur,PS,SOC
Éric Poulliat,33,Député,REM,REM
Éric Ciotti,06,Député,LR,LR
Émilie Guerel,83,Député,REM,REM
Émilie Chalas,38,Député,REM,REM
Émilie Cariou,55,Député,REM,REM
Élodie Jacquier-Laforge,38,Député,MoDem,MoDem
Élise Fajgeles,75,Député,REM,REM
thierry CARCENAC,81,Sénateur,PS,SOC
stephane ravier,13,Sénateur,FN,RASNAG
olivier cigolotti,43,Sénateur,UDLR,UC
michele victory,07,Député,PS,SOC
laurence rossignol,60,Sénateur,PS,SOC
gerard cornu,28,Sénateur,LR,LR
francoise ferat,51,Sénateur,UDLR,UC
eric gold,63,Sénateur,PRG,RDSE
didier guillaume,26,Sénateur,PS,SOC
claude malhuret,3,Sénateur,UDRL,RTLI
christine lanfranchi-dorgal,83,Sénateur,LR,LR
Zivka Park,95,Député,REM,REM
Yolaine de Courson,21,Député,REM,REM
Yaël Braun-Pivet,78,Député,REM,REM
Yannick VAUGRENARD,44,Sénateur,PS,SOC
Yannick Favennec,53,Député,UDI,LC
Xavier Paluszkiewicz,54,Député,REM,REM
Xavier Batut,76,Député,REM,REM
Véronique Riotton,74,Député,REM,REM
Viviane Artigalas,65,Sénateur,PS,SOC
Vivette LOPEZ,30,Sénateur,LR,LR
Victorin JULIEN-EMMANUEL-LUREL,971,Sénateur,PGM,SOC
Veronique Guillotin,54,Sénateur,UDRL,RDSE
Valérie Thomas,63,Député,REM,REM
Valérie Petit,59,Député,REM,REM
